Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00956793839217978,-0.092686213637285,0.0909180226713094,0,0,0,4.31744712742293,0.0112976279029648,3.51577236586452E-07,9.97829415944576E-06,0.0110674657070687,0.000218051185606114,0.0186240189020078,0,0,0,0,0,0,package://robot_arm_description/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_arm_description/meshes/base_link.STL,,电池盒-12V-1;轮组-底盘以下-1;电池盒-12V-2;底盘-1;立柱-L80-5;轮组-底盘以下-3;立柱-L80-7;立柱-L80-6;走线板-2;轮组-底盘以下-4;走线板-3;顶板物料放置-2;立柱-L80-3;轮组-底盘以上-5;走线板-4;车载眼睛-1;立柱-L80-1;走线板-1;低音炮板-1;轮组-底盘以下-2;立柱-L80-4;车轮物料放置-4/物料固定-1;车轮物料放置-3/物料固定-1;arm-1/1-L-1/MK60Z-25.step-1;物料固定-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.000491174557142026,-0.000362251337845447,0.044474339979704,0,0,0,0.674947544731232,0.000604501950882952,5.14269608785048E-05,2.52574578750344E-06,0.000622860916174633,1.79904056933917E-07,0.000575127578688745,0,0,0,0,0,0,package://robot_arm_description/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://robot_arm_description/meshes/link1.STL,,arm-1/2-L-1/LS42BLDC52-2;arm-1/1-L-1/1-L-1;arm-1/2-L-1/2-L-1;arm-1/2-L-1/CBTH-AH2-S3M060-15-A-H-d5.step-3;arm-1/2-L-1/LS42BLDC52-1;arm-1/2-L-1/DCF42-1;arm-1/2-L-1/皮带1-36^2-L-1;arm-1/2-L-1/D5_L72-1;arm-1/2-L-1/CSF-11-xxx-1U-D.STEP-1/CSF-11-03-1U__A_O.STEP-1;arm-1/2-L-1/CSF-11-xxx-1U-D.STEP-1/CSF-11__________A_O.STEP-1/CSF-11-____________.STEP-1;arm-1/2-L-1/CSF-11-xxx-1U-D.STEP-1/CSF-11-1U-______A_O.STEP-1/CSF-11-02-1U__A_O.STEP-1;arm-1/2-L-1/CSF-11-xxx-1U-D.STEP-1/CSF-11-1U-______A_O.STEP-1/CSF-11-01-1U__A_O.STEP-1;arm-1/2-L-1/无刷驱动-2/foc外壳模型.step-1;arm-1/2-L-1/零件5^2-L-1,coordinate1,axis1,joint1,revolute,0,0,0.1284,0,0,0,base_link,0,0,1,100,1,-3.14,3.14,,,,,,,,
link2,0.00688549166474309,0.0971376141098785,0.013426585265842,0,0,0,0.658798195964531,0.00192955984357513,1.80425445703782E-10,-1.75119505889331E-10,0.000324077654263951,0.000121493386851542,0.0019293436502465,0,0,0,0,0,0,package://robot_arm_description/meshes/link2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot_arm_description/meshes/link2.STL,,arm-1/3-L-1/3-L-1;arm-1/3-L-1/CBTH-AH2-S3M060-15-A-H-d5.step-2;arm-1/3-L-1/皮带2-35^3-L-1;arm-1/3-L-1/CBTH-AH2-S3M060-25-A-H-d5.step-2;arm-1/3-L-1/D5_L28-1;arm-1/3-L-1/DCF42-1;arm-1/3-L-1/O3_L9-D5_L54-1;arm-1/3-L-1/CBTH-AH2-S3M060-25-A-H-d5.step-1;危险区域1-1,coordinate2,axis2,joint2,revolute,0,0,0.0927,1.5708,0,1.5708,link1,0,0,1,100,1,-3.14,3.14,,,,,,,,
link3,-0.0162723153394471,-0.0339296843080454,0.0089889322611172,0,0,0,0.138711461850837,7.20784431438331E-05,-1.55169935671368E-05,-1.07599916867154E-05,6.50243647778878E-05,-1.75410546812074E-05,8.57966462662998E-05,0,0,0,0,0,0,package://robot_arm_description/meshes/link3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot_arm_description/meshes/link3.STL,,arm-1/3-L-1/CSF-08-xxx-1U-D.STEP-1/CSF-08-1U-01__A_O.STEP-1;arm-1/4-L-1/4-L-1;arm-1/4-L-1/零件2^4-L-1;arm-1/4-L-1/DCF28-1;arm-1/4-L-1/X28_L28Motor-1/ZDT_X28_L28Motor.STEP-1/28_STEPPER_MOTOR.STEP-1;arm-1/4-L-1/CSF-08-xxx-2HX-F.STEP-1/CSF-08-2HX-J-01__A_O.STEP-1;arm-1/4-L-1/X28_L28Motor-1/ZDT_X28_L28Motor.STEP-1/ZDT_X28_V1.2.STEP-1,coordinate3,axis3,joint3,revolute,0,0.22,0,-3.1416,0,-1.5708,link2,0,0,-1,100,1,-3.14,3.14,,,,,,,,
link4,-3.14719516212869E-05,0.0114202510006353,0.119062651974254,0,0,0,0.121954908122942,0.000112269556670139,2.78691845627752E-09,1.38504824887532E-08,0.000105746885852137,-1.35816151313456E-05,2.2786621162764E-05,0,0,0,0,0,0,package://robot_arm_description/meshes/link4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot_arm_description/meshes/link4.STL,,arm-1/5-L-1/5-L-1;arm-1/5-L-1/DCF28-1;arm-1/5-L-1/皮带1-62^5-L-1;arm-1/5-L-1/CBTH-AH2-S3M060-15-A-H-d5.step-1;arm-1/5-L-1/CBTH-AH2-S3M060-15-A-H-d5.step-2;arm-1/5-L-1/X28_L28Motor-1/ZDT_X28_L28Motor.STEP-1/28_STEPPER_MOTOR.STEP-1;arm-1/5-L-1/X28_L28Motor-1/ZDT_X28_L28Motor.STEP-1/ZDT_X28_V1.2.STEP-1,coordinate4,axis4,joint4,revolute,0,0,0,1.5708,0,0,link3,0,0,1,100,1,-3.14,3.14,,,,,,,,
link5,3.900879692742E-05,-0.0166604252884486,0.00975512932597962,0,0,0,0.0471062209334358,1.46907431007333E-05,1.74858532011627E-11,-2.31868213906344E-08,8.06298145412319E-06,-3.65362595796874E-06,1.35890587021117E-05,0,0,0,0,0,0,package://robot_arm_description/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://robot_arm_description/meshes/link5.STL,,arm-1/5-L-1/CSF-05-xxx-2XH-F.STEP-1/CSF-05__________A_O.STEP-1/CSF-05-____________.STEP-1;arm-1/5-L-1/CSF-05-xxx-2XH-F.STEP-1/______________ M1.6__3__A_O.STEP-3;arm-1/5-L-1/CSF-05-xxx-2XH-F.STEP-1/CSF-05__________A_O.STEP-1/CSF-05-____________-0.STEP-1;arm-1/5-L-1/CSF-05-xxx-2XH-F.STEP-1/CSF-05-2XH-03__A_O.STEP-1;arm-1/6-L-1/6-L-1;arm-1/6-L-1/零件4^6-L-1;arm-1/picker-1/ho3507垫片.step-2,coordinate5,axis5,joint5,revolute,0,0,0.1685,1.5708,-1.5708,0,link4,0,0,-1,100,1,-3.14,3.14,,,,,,,,
link6,9.95590778481992E-05,-2.98711917670691E-05,0.0497166945495441,0,0,0,0.025635671653212,3.13815351754909E-06,2.97302725476538E-08,1.6647582545735E-08,3.12676973154958E-06,7.1227328768286E-10,5.62388863120047E-06,0,0,0,0,0,0,package://robot_arm_description/meshes/link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_arm_description/meshes/link6.STL,,arm-1/picker-1/HO3507[XX-XX-XX].step-2,coordinate6,axis6,joint6,revolute,0,0,0,1.5708,0,0,link5,0,0,1,100,1,-3.14,3.14,,,,,,,,
link_hand,0.0121918868916105,-0.00116091508582963,0.0970327382136116,0,0,0,0.140989899651209,0.000164567714501199,-4.76090299152527E-06,-1.61534133469647E-06,0.000115305703497291,1.7414581292232E-07,8.5144229458496E-05,0,0,0,0,0,0,package://robot_arm_description/meshes/link_hand.STL,1,1,1,1,0,0,0,0,0,0,package://robot_arm_description/meshes/link_hand.STL,,arm-1/picker-1/base-1;arm-1/picker-1/link1-n1-1;arm-1/picker-1/HO3507[XX-XX-XX].step-1,coordinate6,axis6,joint_hand,fixed,0,0,0,0,0,0,link6,0,0,0,,,,,,,,,,,,
link_right,-0.00673545518369728,-0.00515632276669115,-0.0465020436892043,0,0,0,0.00742100783583876,1.96056708562187E-06,3.37810331504543E-07,1.31566810945991E-08,9.67903644156337E-07,-3.01024771806151E-07,2.1334495938295E-06,0,0,0,0,0,0,package://robot_arm_description/meshes/link_right.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://robot_arm_description/meshes/link_right.STL,,arm-1/picker-1/EndEffector v1-1,坐标系2,基准轴9,joint_right,prismatic,0,0,0.1465,-1.5708,0,-0.095289,link_hand,0,0,1,100,1,0,0.06,,,,,,,,
link_left,0.00673545519462737,-0.00515632276231981,-0.046502043693942,0,0,0,0.00742100781440049,1.96056708271233E-06,-3.37810331344714E-07,-1.31566812902485E-08,9.67903643301004E-07,-3.010247720343E-07,2.13344959114745E-06,0,0,0,0,0,0,package://robot_arm_description/meshes/link_left.STL,1,1,1,1,0,0,0,0,0,0,package://robot_arm_description/meshes/link_left.STL,,arm-1/picker-1/EndEffector-1,坐标系3,基准轴9,joint_left,prismatic,0,0,0.1465,-1.5708,0,3.0463,link_hand,0,0,-1,100,1,0,0.06,,,,,,,,
